PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, AC79
Station name, Montague2_AK2010
Begin Date, 2010-07-30
End Date, 2017-03-20
Release Date, 2017-03-22
Source file, AC79.pbo.nam08.pos
Offset from source file, 93.99 mm North, -35.44 mm East, -7.68 mm Vertical
Reference position, 59.9978699330 North Latitude, -147.4030448395 East Longitude, 287.76134 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2010-07-30,0.00, 0.00, 0.00, 2.08, 1.5, 6.24, repro,
2010-07-31,0.92, -0.87, -3.04, 1.64, 1.16, 5.01, repro,
2010-08-01,0.59, 0.75, -4.49, 1.55, 1.09, 4.71, repro,
2010-08-02,0.97, 0.29, -0.24, 1.59, 1.13, 4.85, repro,
2010-08-03,-0.20, 0.67, 0.28, 2.08, 1.43, 6.26, repro,
2010-08-04,1.83, -0.77, -12.71, 2.36, 1.62, 7.3, repro,
2010-08-05,2.35, 0.57, -6.10, 1.68, 1.19, 5.19, repro,
2010-08-06,2.21, 1.10, 4.58, 1.61, 1.14, 4.93, repro,
2010-08-07,1.83, 0.30, 7.01, 1.46, 1.03, 4.49, repro,
2010-08-08,2.13, -0.85, -2.42, 1.45, 1.03, 4.46, repro,
2010-08-09,1.56, -0.06, 4.21, 1.79, 1.25, 5.48, repro,
2010-08-10,2.20, 1.00, -6.42, 1.86, 1.3, 5.69, repro,
2010-08-11,1.08, 0.79, -7.18, 1.58, 1.11, 4.83, repro,
2010-08-12,2.19, 0.23, -0.26, 1.62, 1.16, 4.95, repro,
2010-08-13,3.90, -0.63, -4.15, 1.87, 1.32, 5.76, repro,
2010-08-14,2.54, 0.71, -5.42, 1.73, 1.2, 5.3, repro,
2010-08-15,1.80, 1.02, -0.30, 1.5, 1.06, 4.65, repro,
2010-08-16,3.63, 0.57, -5.90, 2.02, 1.4, 6.22, repro,
2010-08-17,2.89, 1.70, -5.93, 2.12, 1.49, 6.5, repro,
2010-08-18,0.48, 0.44, 3.56, 1.4, 1.01, 4.33, repro,
2010-08-19,1.63, 0.27, 4.38, 1.44, 1.04, 4.44, repro,
2010-08-20,1.76, 0.22, 4.14, 1.35, 0.98, 4.15, repro,
2010-08-21,1.40, -0.25, 3.95, 1.4, 1.02, 4.34, repro,
2010-08-22,2.46, -0.70, 6.12, 1.46, 1.05, 4.5, repro,
2010-08-23,2.47, -0.54, 0.66, 1.47, 1.06, 4.54, repro,
2010-08-24,2.11, 0.06, -3.91, 1.49, 1.07, 4.57, repro,
2010-08-25,1.68, -0.53, 6.13, 1.45, 1.04, 4.46, repro,
2010-08-26,2.62, -0.41, 5.91, 1.53, 1.1, 4.69, repro,
2010-08-27,2.12, -0.60, 5.22, 1.56, 1.11, 4.79, repro,
2010-08-28,2.42, -1.04, -3.39, 1.54, 1.1, 4.75, repro,
2010-08-29,3.21, -0.45, -0.75, 1.49, 1.06, 4.59, repro,
2010-08-30,2.35, -2.09, 0.81, 1.41, 1.03, 4.33, repro,
2010-08-31,2.39, -1.73, 0.31, 1.4, 1, 4.3, repro,
2010-09-01,2.74, -0.28, 5.92, 1.58, 1.13, 4.81, repro,
2010-09-02,1.70, -1.08, 0.17, 1.57, 1.12, 4.79, repro,
2010-09-03,2.76, -1.25, -0.10, 1.42, 1.01, 4.38, repro,
2010-09-04,3.46, -1.95, 1.56, 1.49, 1.05, 4.56, repro,
2010-09-05,4.08, -0.61, 0.64, 1.45, 1.03, 4.42, repro,
2010-09-06,3.42, -0.39, 3.31, 1.47, 1.06, 4.49, repro,
2010-09-07,2.82, -1.51, 3.14, 1.99, 1.39, 6.06, repro,
2010-09-08,5.59, -0.84, -0.89, 1.53, 1.07, 4.64, repro,
2010-09-09,3.85, -0.92, 7.21, 1.39, 0.98, 4.25, repro,
